Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
"0_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-202.2, -7.6, 3.8)",,,,,,9271.2,,2415.6,
,,1.0,,"(-201.6, -27.4, 3.8)",,"(0.6, -19.9, 0.0)",,19.9,,6453.8,,1919.2,
,,2.0,,"(-201.2, -21.0, 3.8)",,"(0.4, 6.5, 0.0)",,6.5,,6670.7,,1905.2,
,,3.0,,"(-206.1, -9.1, 3.8)",,"(-4.9, 11.8, 0.0)",,12.8,,6572.3,,1949.4,
,,4.0,,"(-211.4, 6.7, 3.8)",,"(-5.3, 15.8, 0.0)",,16.7,,7737.8,,2101.4,
,,5.0,,"(-211.1, 1.0, 3.8)",,"(0.3, -5.7, 0.0)",,5.7,,7995.7,,2162.2,
,,6.0,,"(-216.0, 0.2, 11.4)",,"(-4.9, -0.8, 7.6)",,9.1,,10010.7,,2424.9,
,,7.0,,"(-221.3, -5.1, 11.4)",,"(-5.3, -5.3, 0.0)",,7.5,,7706.7,,2116.0,
,,8.0,,"(-222.8, -11.4, 11.4)",,"(-1.4, -6.3, 0.0)",,6.5,,7757.4,,2074.7,
,,9.0,,"(-222.0, 9.9, 11.4)",,"(0.7, 21.3, 0.0)",,21.3,,8059.1,,2132.4,
,,10.0,,"(-225.4, 9.5, 11.4)",,"(-3.3, -0.5, 0.0)",,3.4,,9472.0,,2355.8,
,,11.0,,"(-228.7, 9.4, 11.4)",,"(-3.3, -0.1, 0.0)",,3.3,,9402.6,,2358.6,
,,12.0,,"(-234.7, 16.8, 11.4)",,"(-6.1, 7.4, 0.0)",,9.6,,7039.9,,2012.1,
,,13.0,,"(-239.1, 8.9, 11.4)",,"(-4.3, -7.9, 0.0)",,9.0,,8010.9,,2066.6,
,,14.0,,"(-235.0, 8.0, 11.4)",,"(4.1, -0.9, 0.0)",,4.2,,6144.2,,1812.2,
,,15.0,,"(-240.9, 1.5, 7.6)",,"(-5.9, -6.5, -3.8)",,9.5,,9054.7,,2471.9,
,,16.0,,"(-246.7, 2.2, 11.4)",,"(-5.8, 0.7, 3.8)",,7.0,,8349.6,,2165.6,
,,17.0,,"(-252.6, -0.1, 11.4)",,"(-5.9, -2.2, 0.0)",,6.4,,9466.8,,2414.3,
,,18.0,,"(-252.1, -1.3, 11.4)",,"(0.5, -1.2, 0.0)",,1.3,,7201.3,,2024.8,
,,19.0,,"(-252.3, -5.0, 11.4)",,"(-0.2, -3.7, 0.0)",,3.7,,7644.3,,2092.0,
,,20.0,,"(-254.9, 4.2, 11.4)",,"(-2.6, 9.2, 0.0)",,9.6,,3360.3,,1157.4,
,,21.0,,"(-257.4, 22.1, 18.9)",,"(-2.5, 17.8, 7.6)",,19.5,,1895.4,,776.4,
,,22.0,,"(-260.0, 7.8, 11.4)",,"(-2.6, -14.3, -7.6)",,16.4,,3248.7,,1147.5,
,,23.0,,"(-259.5, 13.3, 11.4)",,"(0.4, 5.6, 0.0)",,5.6,,3599.0,,1213.9,
,,24.0,,"(-260.8, 18.5, 11.4)",,"(-1.3, 5.2, 0.0)",,5.3,,3708.8,,1264.0,
,,25.0,,"(-263.5, 27.0, 18.9)",,"(-2.7, 8.5, 7.6)",,11.7,,3365.3,,1179.4,
,,26.0,,"(-270.6, 32.5, 18.9)",,"(-7.1, 5.5, 0.0)",,9.0,,3447.2,,1169.4,
,,27.0,,"(-272.2, 28.8, 18.9)",,"(-1.6, -3.7, 0.0)",,4.0,,3196.1,,1121.3,
,,28.0,,"(-280.6, 28.0, 15.2)",,"(-8.4, -0.8, -3.8)",,9.2,,5090.9,,1534.0,
,,29.0,,"(-287.3, 13.9, 11.4)",,"(-6.7, -14.1, -3.8)",,16.1,,5971.5,,1710.0,
,,30.0,,"(-283.4, 11.8, 15.2)",,"(3.9, -2.1, 3.8)",,5.8,,6035.9,,1703.4,
"1_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-149.0, 62.0, 22.7)",,,,,,4995.0,,1677.6,
,,1.0,,"(-152.9, 69.4, 30.3)",,"(-3.9, 7.3, 7.6)",,11.2,,4449.7,,1460.7,
,,2.0,,"(-152.0, 69.0, 30.3)",,"(0.8, -0.4, 0.0)",,0.9,,5783.3,,1892.2,
,,3.0,,"(-146.8, 58.7, 22.7)",,"(5.2, -10.3, -7.6)",,13.8,,5367.2,,1861.5,
,,4.0,,"(-150.0, 60.7, 22.7)",,"(-3.2, 2.0, 0.0)",,3.7,,6479.9,,1971.7,
,,5.0,,"(-144.8, 64.9, 22.7)",,"(5.2, 4.3, 0.0)",,6.7,,6091.3,,1860.4,
,,6.0,,"(-149.7, 52.1, 18.9)",,"(-4.8, -12.8, -3.8)",,14.2,,7731.4,,2219.3,
,,7.0,,"(-153.8, 50.0, 22.7)",,"(-4.1, -2.1, 3.8)",,6.0,,5582.5,,1840.2,
,,8.0,,"(-151.2, 34.6, 15.2)",,"(2.6, -15.3, -7.6)",,17.3,,6536.2,,2173.6,
,,9.0,,"(-148.8, 48.9, 15.2)",,"(2.4, 14.3, 0.0)",,14.5,,5702.7,,1944.2,
,,10.0,,"(-148.5, 48.4, 15.2)",,"(0.3, -0.6, 0.0)",,0.6,,6046.3,,2074.4,
,,11.0,,"(-149.7, 33.9, 11.4)",,"(-1.2, -14.4, -3.8)",,15.0,,6928.4,,2088.6,
,,12.0,,"(-152.9, 44.8, 18.9)",,"(-3.2, 10.8, 7.6)",,13.6,,6991.5,,2276.6,
,,13.0,,"(-152.3, 34.2, 15.2)",,"(0.6, -10.6, -3.8)",,11.3,,6814.0,,2175.5,
,,14.0,,"(-146.8, 40.9, 15.2)",,"(5.4, 6.6, 0.0)",,8.6,,5794.7,,1818.7,
,,15.0,,"(-150.0, 50.7, 15.2)",,"(-3.1, 9.8, 0.0)",,10.3,,6232.5,,1916.3,
,,16.0,,"(-147.1, 42.8, 15.2)",,"(2.9, -7.9, 0.0)",,8.4,,7371.6,,2193.5,
,,17.0,,"(-147.8, 56.5, 22.7)",,"(-0.7, 13.6, 7.6)",,15.6,,5676.4,,1861.4,
,,18.0,,"(-152.1, 28.1, 15.2)",,"(-4.3, -28.3, -7.6)",,29.6,,7256.1,,2198.6,
,,19.0,,"(-148.9, 28.9, 11.4)",,"(3.1, 0.8, -3.8)",,5.0,,6054.0,,1913.1,
,,20.0,,"(-144.4, 17.6, 11.4)",,"(4.5, -11.3, 0.0)",,12.2,,7561.5,,2043.1,
,,21.0,,"(-146.8, 20.6, 11.4)",,"(-2.4, 3.0, 0.0)",,3.9,,5563.1,,1657.3,
,,22.0,,"(-145.3, 21.7, 15.2)",,"(1.5, 1.1, 3.8)",,4.2,,6673.2,,2235.2,
,,23.0,,"(-148.7, 13.5, 11.4)",,"(-3.4, -8.3, -3.8)",,9.7,,6750.8,,2002.5,
,,24.0,,"(-142.5, 9.8, 11.4)",,"(6.1, -3.6, 0.0)",,7.1,,8497.5,,2378.2,
,,25.0,,"(-141.4, 21.6, 11.4)",,"(1.1, 11.8, 0.0)",,11.9,,6852.4,,2055.1,
,,26.0,,"(-148.2, 17.5, 11.4)",,"(-6.7, -4.2, 0.0)",,7.9,,7685.4,,2334.5,
,,27.0,,"(-150.6, 8.3, 15.2)",,"(-2.5, -9.2, 3.8)",,10.2,,7466.3,,2185.2,
,,28.0,,"(-148.5, 5.5, 11.4)",,"(2.1, -2.8, -3.8)",,5.2,,6284.0,,1877.8,
,,29.0,,"(-143.9, 10.0, 11.4)",,"(4.6, 4.5, 0.0)",,6.4,,7576.3,,2087.4,
,,30.0,,"(-154.7, 22.7, 18.9)",,"(-10.8, 12.7, 7.6)",,18.3,,6484.0,,1949.6,
"2_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-174.9, -46.4, 72.0)",,,,,,1870.7,,763.0,
,,1.0,,"(-175.0, -41.3, 79.5)",,"(-0.1, 5.1, 7.6)",,9.1,,2242.7,,971.7,
,,2.0,,"(-168.9, -40.5, 79.5)",,"(6.1, 0.8, 0.0)",,6.1,,2810.1,,1026.3,
,,3.0,,"(-170.1, -44.8, 79.5)",,"(-1.1, -4.3, 0.0)",,4.4,,2845.0,,1058.4,
,,4.0,,"(-174.8, -42.2, 75.8)",,"(-4.7, 2.6, -3.8)",,6.6,,3667.5,,1259.9,
,,5.0,,"(-172.9, -39.9, 75.8)",,"(1.9, 2.3, 0.0)",,3.0,,4104.4,,1330.5,
,,6.0,,"(-172.5, -41.4, 79.5)",,"(0.3, -1.5, 3.8)",,4.1,,3589.5,,1216.3,
,,7.0,,"(-174.4, -52.7, 75.8)",,"(-1.8, -11.3, -3.8)",,12.1,,3679.3,,1276.5,
,,8.0,,"(-168.8, -59.7, 79.5)",,"(5.6, -7.0, 3.8)",,9.7,,3249.7,,1119.3,
,,9.0,,"(-171.8, -50.0, 79.5)",,"(-3.0, 9.7, 0.0)",,10.2,,3915.7,,1262.4,
,,10.0,,"(-178.7, -49.3, 79.5)",,"(-6.9, 0.7, 0.0)",,7.0,,3440.0,,1186.2,
,,11.0,,"(-174.6, -33.1, 87.1)",,"(4.1, 16.2, 7.6)",,18.3,,2554.6,,1067.8,
,,12.0,,"(-177.7, -36.7, 79.5)",,"(-3.1, -3.6, -7.6)",,9.0,,3676.0,,1255.5,
,,13.0,,"(-175.6, -45.5, 75.8)",,"(2.1, -8.8, -3.8)",,9.8,,3253.3,,1288.5,
,,14.0,,"(-174.0, -49.0, 75.8)",,"(1.6, -3.4, 0.0)",,3.8,,3620.8,,1364.0,
,,15.0,,"(-177.1, -41.7, 79.5)",,"(-3.1, 7.3, 3.8)",,8.8,,6560.4,,1817.7,
,,16.0,,"(-182.8, -48.3, 75.8)",,"(-5.7, -6.6, -3.8)",,9.5,,4083.2,,1404.9,
,,17.0,,"(-183.5, -50.7, 75.8)",,"(-0.7, -2.4, 0.0)",,2.5,,4389.9,,1421.6,
,,18.0,,"(-183.8, -48.2, 79.5)",,"(-0.3, 2.5, 3.8)",,4.5,,3966.1,,1285.7,
,,19.0,,"(-177.1, -33.0, 87.1)",,"(6.7, 15.2, 7.6)",,18.3,,4229.4,,1535.9,
,,20.0,,"(-186.7, -31.0, 83.3)",,"(-9.6, 2.0, -3.8)",,10.5,,6142.9,,1887.1,
,,21.0,,"(-183.5, -37.2, 83.3)",,"(3.1, -6.2, 0.0)",,7.0,,3607.5,,1372.1,
,,22.0,,"(-183.1, -31.2, 83.3)",,"(0.4, 6.0, 0.0)",,6.1,,3764.4,,1276.4,
,,23.0,,"(-184.6, -37.4, 83.3)",,"(-1.5, -6.3, 0.0)",,6.4,,4057.7,,1456.9,
,,24.0,,"(-187.9, -37.2, 83.3)",,"(-3.2, 0.2, 0.0)",,3.2,,4618.8,,1596.6,
,,25.0,,"(-186.3, -42.2, 75.8)",,"(1.6, -4.9, -7.6)",,9.2,,3759.4,,1360.5,
,,26.0,,"(-191.1, -47.1, 75.8)",,"(-4.8, -5.0, 0.0)",,6.9,,3395.8,,1189.5,
,,27.0,,"(-189.4, -44.3, 75.8)",,"(1.7, 2.8, 0.0)",,3.3,,3444.7,,1232.6,
,,28.0,,"(-192.1, -43.9, 72.0)",,"(-2.6, 0.4, -3.8)",,4.6,,3491.0,,1396.3,
,,29.0,,"(-190.8, -46.7, 75.8)",,"(1.2, -2.8, 3.8)",,4.8,,4907.4,,1534.9,
,,30.0,,"(-185.7, -45.0, 75.8)",,"(5.1, 1.7, 0.0)",,5.4,,3879.1,,1468.2,
"3_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-191.1, 7.4, 72.0)",,,,,,2261.2,,884.5,
,,1.0,,"(-197.7, 9.3, 64.4)",,"(-6.6, 1.9, -7.6)",,10.2,,2709.2,,1031.4,
,,2.0,,"(-182.8, 30.3, 79.5)",,"(14.9, 21.0, 15.2)",,29.9,,2946.6,,1110.7,
,,3.0,,"(-180.7, 31.0, 83.3)",,"(2.1, 0.7, 3.8)",,4.4,,3437.6,,1218.8,
,,4.0,,"(-175.8, 44.8, 83.3)",,"(4.9, 13.9, 0.0)",,14.7,,3573.9,,1201.9,
,,5.0,,"(-176.1, 48.5, 87.1)",,"(-0.3, 3.7, 3.8)",,5.3,,3380.7,,1235.7,
,,6.0,,"(-174.0, 51.6, 87.1)",,"(2.1, 3.1, 0.0)",,3.7,,2781.5,,1050.9,
,,7.0,,"(-177.2, 40.2, 87.1)",,"(-3.3, -11.4, 0.0)",,11.8,,3725.9,,1341.4,
,,8.0,,"(-176.0, 39.1, 83.3)",,"(1.2, -1.1, -3.8)",,4.1,,5033.0,,1706.0,
,,9.0,,"(-175.6, 45.5, 83.3)",,"(0.4, 6.3, 0.0)",,6.4,,4285.0,,1383.8,
,,10.0,,"(-177.3, 47.4, 83.3)",,"(-1.7, 1.9, 0.0)",,2.6,,5075.5,,1619.0,
,,11.0,,"(-175.1, 48.5, 83.3)",,"(2.2, 1.1, 0.0)",,2.5,,4173.6,,1387.4,
,,12.0,,"(-184.1, 53.3, 75.8)",,"(-9.0, 4.8, -7.6)",,12.7,,4289.5,,1467.2,
,,13.0,,"(-186.2, 54.9, 75.8)",,"(-2.1, 1.6, 0.0)",,2.7,,4554.0,,1532.9,
,,14.0,,"(-188.4, 55.2, 72.0)",,"(-2.2, 0.3, -3.8)",,4.4,,3282.7,,1217.3,
,,15.0,,"(-187.4, 63.2, 68.2)",,"(1.0, 8.0, -3.8)",,8.9,,3802.9,,1321.8,
,,16.0,,"(-183.6, 65.1, 68.2)",,"(3.8, 1.9, 0.0)",,4.2,,3118.3,,1222.0,
,,17.0,,"(-184.5, 64.6, 68.2)",,"(-0.9, -0.5, 0.0)",,1.0,,3767.8,,1298.2,
,,18.0,,"(-189.4, 57.0, 68.2)",,"(-4.9, -7.6, 0.0)",,9.0,,4590.9,,1572.6,
,,19.0,,"(-186.5, 60.4, 60.6)",,"(2.9, 3.4, -7.6)",,8.8,,4350.0,,1428.0,
,,20.0,,"(-186.0, 64.2, 64.4)",,"(0.5, 3.9, 3.8)",,5.5,,4762.7,,1638.6,
,,21.0,,"(-186.5, 65.0, 64.4)",,"(-0.5, 0.7, 0.0)",,0.9,,4509.5,,1544.7,
,,22.0,,"(-185.7, 66.1, 56.8)",,"(0.8, 1.1, -7.6)",,7.7,,5289.0,,1692.2,
,,23.0,,"(-190.2, 61.5, 60.6)",,"(-4.5, -4.6, 3.8)",,7.4,,4311.2,,1471.1,
,,24.0,,"(-188.2, 62.4, 53.0)",,"(2.0, 0.9, -7.6)",,7.9,,4363.0,,1461.9,
,,25.0,,"(-195.7, 58.0, 60.6)",,"(-7.5, -4.4, 7.6)",,11.6,,4757.7,,1567.5,
,,26.0,,"(-198.2, 66.8, 53.0)",,"(-2.5, 8.8, -7.6)",,11.9,,4637.3,,1460.9,
,,27.0,,"(-196.1, 69.7, 53.0)",,"(2.1, 2.9, 0.0)",,3.6,,5549.7,,1592.5,
,,28.0,,"(-191.9, 75.6, 45.5)",,"(4.2, 5.9, -7.6)",,10.5,,3912.0,,1307.1,
,,29.0,,"(-191.5, 64.1, 45.5)",,"(0.4, -11.4, 0.0)",,11.5,,5821.3,,1685.7,
,,30.0,,"(-192.7, 70.1, 45.5)",,"(-1.2, 5.9, 0.0)",,6.1,,4963.9,,1535.5,
"4_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,,,,,,,,,,
,,1.0,,,,,,,,,,,
,,2.0,,,,,,,,,,,
,,3.0,,,,,,,,,,,
,,4.0,,,,,,,,,,,
,,5.0,,,,,,,,,,,
,,6.0,,,,,,,,,,,
,,7.0,,,,,,,,,,,
,,8.0,,,,,,,,,,,
,,9.0,,,,,,,,,,,
,,10.0,,,,,,,,,,,
,,11.0,,,,,,,,,,,
,,12.0,,,,,,,,,,,
,,13.0,,,,,,,,,,,
,,14.0,,,,,,,,,,,
,,15.0,,,,,,,,,,,
,,16.0,,,,,,,,,,,
,,17.0,,,,,,,,,,,
,,18.0,,,,,,,,,,,
,,19.0,,,,,,,,,,,
,,20.0,,,,,,,,,,,
,,21.0,,"(-259.6, -20.6, 11.4)",,,,,,1644.9,,710.9,
,,22.0,,"(-256.7, -24.3, 11.4)",,"(2.9, -3.7, 0.0)",,4.7,,2684.5,,1044.5,
,,23.0,,"(-262.7, -19.5, 11.4)",,"(-6.0, 4.8, 0.0)",,7.7,,3259.2,,1154.2,
,,24.0,,"(-265.2, -13.5, 11.4)",,"(-2.5, 6.0, 0.0)",,6.5,,3676.8,,1233.7,
,,25.0,,"(-271.2, -22.8, 11.4)",,"(-6.0, -9.3, 0.0)",,11.1,,3209.9,,1120.0,
,,26.0,,"(-273.5, -26.3, 11.4)",,"(-2.3, -3.5, 0.0)",,4.2,,4066.6,,1311.3,
,,27.0,,"(-276.1, -28.5, 11.4)",,"(-2.6, -2.3, 0.0)",,3.5,,3678.5,,1234.9,
,,28.0,,"(-280.2, -31.7, 15.2)",,"(-4.1, -3.2, 3.8)",,6.4,,4814.2,,1470.8,
,,29.0,,"(-284.2, -32.3, 15.2)",,"(-4.0, -0.5, 0.0)",,4.0,,5769.6,,1683.2,
,,30.0,,"(-285.3, -37.3, 22.7)",,"(-1.1, -5.0, 7.6)",,9.2,,5175.6,,1533.8,
"5_(0, 0, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-126.9, 40.5, 41.7)",,,,,,136971.7,,17586.3,
,,1.0,,"(-128.1, 41.8, 37.9)",,"(-1.1, 1.3, -3.8)",,4.2,,132705.3,,15627.8,
,,2.0,,"(-130.0, 45.1, 41.7)",,"(-1.9, 3.3, 3.8)",,5.4,,127673.8,,16063.2,
,,3.0,,"(-130.3, 41.8, 45.5)",,"(-0.3, -3.3, 3.8)",,5.0,,134113.8,,16206.5,
,,4.0,,"(-128.9, 46.8, 45.5)",,"(1.4, 4.9, 0.0)",,5.1,,140541.3,,20400.5,
,,5.0,,"(-128.1, 49.7, 41.7)",,"(0.8, 3.0, -3.8)",,4.9,,145929.7,,17671.6,
,,6.0,,"(-132.3, 53.0, 49.2)",,"(-4.2, 3.3, 7.6)",,9.3,,156523.7,,17366.4,
,,7.0,,"(-136.0, 43.7, 45.5)",,"(-3.7, -9.3, -3.8)",,10.7,,151035.5,,16765.8,
,,8.0,,"(-136.6, 39.7, 45.5)",,"(-0.6, -4.0, 0.0)",,4.1,,159865.1,,17381.0,
,,9.0,,"(-133.9, 42.5, 41.7)",,"(2.7, 2.8, -3.8)",,5.4,,153423.1,,17165.2,
,,10.0,,"(-133.7, 41.4, 37.9)",,"(0.2, -1.1, -3.8)",,3.9,,142834.3,,18030.5,
,,11.0,,"(-134.1, 44.7, 41.7)",,"(-0.3, 3.3, 3.8)",,5.0,,149398.0,,16907.6,
