Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
"0_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-184.7, 24.6, 18.9)",,,,,,3418.9,,1238.0,
,,1.0,,"(-185.2, 27.7, 15.2)",,"(-0.4, 3.2, -3.8)",,5.0,,3751.5,,1379.2,
,,2.0,,"(-182.1, 26.5, 15.2)",,"(3.1, -1.2, 0.0)",,3.3,,3909.6,,1485.8,
,,3.0,,"(-186.9, 24.8, 18.9)",,"(-4.8, -1.8, 3.8)",,6.3,,4815.4,,1559.0,
,,4.0,,"(-186.5, 23.6, 18.9)",,"(0.3, -1.1, 0.0)",,1.2,,3582.6,,1299.0,
,,5.0,,"(-185.6, 28.3, 18.9)",,"(1.0, 4.7, 0.0)",,4.8,,3124.1,,1246.3,
,,6.0,,"(-184.1, 31.4, 26.5)",,"(1.5, 3.1, 7.6)",,8.3,,2931.2,,1226.6,
,,7.0,,"(-183.1, 38.8, 30.3)",,"(1.0, 7.4, 3.8)",,8.4,,3810.2,,1444.7,
,,8.0,,"(-180.4, 50.7, 37.9)",,"(2.6, 11.9, 7.6)",,14.3,,3575.1,,1298.6,
,,9.0,,"(-177.4, 52.5, 37.9)",,"(3.0, 1.8, 0.0)",,3.5,,3724.1,,1372.4,
,,10.0,,"(-182.6, 41.6, 30.3)",,"(-5.2, -10.9, -7.6)",,14.3,,3672.2,,1420.6,
,,11.0,,"(-184.9, 38.9, 30.3)",,"(-2.2, -2.7, 0.0)",,3.5,,3568.9,,1338.1,
,,12.0,,"(-188.5, 28.1, 22.7)",,"(-3.7, -10.8, -7.6)",,13.7,,4355.6,,1580.3,
,,13.0,,"(-187.1, 41.2, 15.2)",,"(1.5, 13.1, -7.6)",,15.2,,3806.6,,1439.8,
,,14.0,,"(-186.5, 48.1, 30.3)",,"(0.6, 6.9, 15.2)",,16.7,,3446.1,,1351.4,
,,15.0,,"(-185.9, 57.5, 37.9)",,"(0.5, 9.4, 7.6)",,12.1,,4206.2,,1457.9,
,,16.0,,"(-185.0, 53.7, 30.3)",,"(0.9, -3.7, -7.6)",,8.5,,3514.9,,1304.7,
,,17.0,,"(-186.1, 52.8, 30.3)",,"(-1.1, -1.0, 0.0)",,1.5,,3922.1,,1403.3,
,,18.0,,"(-185.7, 56.6, 45.5)",,"(0.4, 3.9, 15.2)",,15.6,,3571.5,,1285.4,
,,19.0,,"(-185.9, 56.7, 53.0)",,"(-0.2, 0.1, 7.6)",,7.6,,3962.3,,1356.3,
,,20.0,,"(-191.3, 52.4, 53.0)",,"(-5.4, -4.3, 0.0)",,7.0,,3811.3,,1356.1,
,,21.0,,"(-192.4, 49.7, 45.5)",,"(-1.1, -2.6, -7.6)",,8.1,,3795.1,,1397.6,
,,22.0,,"(-191.3, 46.7, 53.0)",,"(1.2, -3.0, 7.6)",,8.2,,3844.4,,1455.8,
,,23.0,,"(-195.7, 43.9, 45.5)",,"(-4.4, -2.8, -7.6)",,9.2,,4110.6,,1448.1,
,,24.0,,"(-201.2, 35.6, 37.9)",,"(-5.6, -8.3, -7.6)",,12.5,,3613.8,,1361.8,
,,25.0,,"(-203.3, 34.8, 37.9)",,"(-2.0, -0.8, 0.0)",,2.2,,3715.2,,1428.1,
,,26.0,,"(-202.4, 34.4, 37.9)",,"(0.9, -0.3, 0.0)",,0.9,,3869.0,,1412.0,
,,27.0,,"(-200.8, 41.4, 41.7)",,"(1.6, 7.0, 3.8)",,8.1,,3801.9,,1474.4,
,,28.0,,"(-201.5, 42.3, 37.9)",,"(-0.7, 0.9, -3.8)",,4.0,,3554.0,,1411.7,
,,29.0,,"(-203.8, 42.3, 41.7)",,"(-2.3, -0.0, 3.8)",,4.4,,4164.5,,1563.8,
,,30.0,,"(-207.3, 40.4, 37.9)",,"(-3.5, -1.9, -3.8)",,5.5,,3815.8,,1369.7,
"1_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-117.6, -67.6, 60.6)",,,,,,5819.8,,1849.3,
,,1.0,,"(-118.2, -66.5, 60.6)",,"(-0.6, 1.2, 0.0)",,1.3,,6233.4,,1981.4,
,,2.0,,"(-121.8, -71.3, 49.2)",,"(-3.7, -4.9, -11.4)",,12.9,,6435.0,,1922.4,
,,3.0,,"(-131.3, -73.2, 37.9)",,"(-9.4, -1.9, -11.4)",,14.9,,4826.2,,1578.3,
,,4.0,,"(-130.2, -70.6, 37.9)",,"(1.1, 2.6, 0.0)",,2.9,,5785.9,,1774.4,
,,5.0,,"(-124.7, -73.6, 49.2)",,"(5.4, -3.0, 11.4)",,13.0,,6198.4,,1848.9,
,,6.0,,"(-126.5, -71.7, 49.2)",,"(-1.8, 1.9, 0.0)",,2.6,,7540.7,,2149.7,
,,7.0,,"(-129.2, -69.7, 45.5)",,"(-2.7, 2.0, -3.8)",,5.1,,5707.5,,1787.7,
,,8.0,,"(-134.0, -65.5, 30.3)",,"(-4.7, 4.2, -15.2)",,16.4,,6666.2,,1956.1,
,,9.0,,"(-134.5, -63.9, 30.3)",,"(-0.5, 1.5, 0.0)",,1.6,,5817.1,,1809.5,
,,10.0,,"(-133.7, -65.9, 30.3)",,"(0.8, -2.0, 0.0)",,2.1,,6636.0,,1928.9,
,,11.0,,"(-134.7, -62.8, 30.3)",,"(-1.0, 3.1, 0.0)",,3.2,,6498.7,,1905.5,
,,12.0,,"(-134.6, -70.4, 41.7)",,"(0.1, -7.6, 11.4)",,13.7,,6421.1,,1981.9,
,,13.0,,"(-133.6, -63.9, 30.3)",,"(1.0, 6.5, -11.4)",,13.1,,4801.4,,1643.4,
,,14.0,,"(-131.3, -66.9, 30.3)",,"(2.3, -3.0, 0.0)",,3.8,,5802.7,,1792.3,
,,15.0,,"(-135.7, -67.1, 37.9)",,"(-4.4, -0.2, 7.6)",,8.8,,5606.5,,1746.4,
,,16.0,,"(-138.1, -67.0, 37.9)",,"(-2.4, 0.2, 0.0)",,2.4,,5324.9,,1712.7,
,,17.0,,"(-136.0, -76.5, 45.5)",,"(2.1, -9.5, 7.6)",,12.3,,4845.5,,1570.1,
,,18.0,,"(-131.9, -74.8, 56.8)",,"(4.1, 1.7, 11.4)",,12.2,,6675.5,,2096.9,
,,19.0,,"(-129.8, -75.1, 53.0)",,"(2.2, -0.3, -3.8)",,4.4,,4698.3,,1611.2,
,,20.0,,"(-127.3, -67.9, 68.2)",,"(2.5, 7.2, 15.2)",,16.9,,4434.3,,1511.3,
,,21.0,,"(-125.8, -64.9, 68.2)",,"(1.5, 3.0, 0.0)",,3.4,,6449.5,,2022.8,
,,22.0,,"(-127.7, -65.3, 68.2)",,"(-2.0, -0.5, 0.0)",,2.0,,5436.0,,1788.4,
,,23.0,,"(-127.5, -72.0, 60.6)",,"(0.2, -6.7, -7.6)",,10.1,,6080.1,,1869.9,
,,24.0,,"(-132.4, -64.9, 64.4)",,"(-4.9, 7.2, 3.8)",,9.5,,5146.8,,1801.1,
,,25.0,,"(-127.4, -67.8, 75.8)",,"(5.0, -3.0, 11.4)",,12.8,,5029.4,,1644.7,
,,26.0,,"(-129.9, -71.8, 64.4)",,"(-2.4, -4.0, -11.4)",,12.3,,6697.6,,2021.2,
,,27.0,,"(-126.2, -74.4, 60.6)",,"(3.7, -2.6, -3.8)",,5.9,,6120.5,,1831.3,
,,28.0,,"(-129.5, -76.8, 64.4)",,"(-3.3, -2.4, 3.8)",,5.6,,6168.4,,1891.4,
,,29.0,,"(-130.3, -70.7, 68.2)",,"(-0.8, 6.1, 3.8)",,7.3,,6183.1,,1872.2,
,,30.0,,"(-130.1, -64.9, 60.6)",,"(0.2, 5.8, -7.6)",,9.5,,5397.6,,1788.1,
"2_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,,,,,,,,,,
,,1.0,,,,,,,,,,,
,,2.0,,,,,,,,,,,
,,3.0,,,,,,,,,,,
,,4.0,,,,,,,,,,,
,,5.0,,,,,,,,,,,
,,6.0,,,,,,,,,,,
,,7.0,,,,,,,,,,,
,,8.0,,,,,,,,,,,
,,9.0,,,,,,,,,,,
,,10.0,,,,,,,,,,,
,,11.0,,,,,,,,,,,
,,12.0,,,,,,,,,,,
,,13.0,,,,,,,,,,,
,,14.0,,,,,,,,,,,
,,15.0,,,,,,,,,,,
,,16.0,,,,,,,,,,,
,,17.0,,,,,,,,,,,
,,18.0,,,,,,,,,,,
,,19.0,,,,,,,,,,,
,,20.0,,,,,,,,,,,
,,21.0,,,,,,,,,,,
,,22.0,,,,,,,,,,,
,,23.0,,,,,,,,,,,
,,24.0,,,,,,,,,,,
,,25.0,,,,,,,,,,,
,,26.0,,"(-342.1, 286.7, 0.0)",,,,,,,,,
,,27.0,,,,,,,,,,,
,,28.0,,,,,,,,,,,
,,29.0,,,,,,,,,,,
,,30.0,,,,,,,,,,,
"3_(0, 255, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-135.3, -50.5, 22.7)",,,,,,9719.2,,2781.4,
,,1.0,,"(-132.9, -43.5, 15.2)",,"(2.3, 7.0, -7.6)",,10.6,,8771.9,,2449.9,
,,2.0,,"(-138.7, -42.1, 22.7)",,"(-5.8, 1.4, 7.6)",,9.6,,8725.5,,2454.1,
,,3.0,,"(-145.4, -35.2, 18.9)",,"(-6.7, 7.0, -3.8)",,10.3,,9644.6,,2633.4,
,,4.0,,"(-141.2, -34.3, 22.7)",,"(4.1, 0.8, 3.8)",,5.7,,7916.5,,2488.6,
,,5.0,,"(-141.1, -36.5, 22.7)",,"(0.1, -2.2, 0.0)",,2.2,,8593.2,,2554.4,
,,6.0,,"(-145.7, -34.9, 22.7)",,"(-4.6, 1.6, 0.0)",,4.8,,8360.8,,2598.2,
,,7.0,,"(-141.4, -43.2, 22.7)",,"(4.2, -8.3, 0.0)",,9.3,,8870.9,,2589.0,
,,8.0,,"(-148.2, -31.3, 22.7)",,"(-6.8, 11.9, 0.0)",,13.7,,9449.7,,2664.2,
,,9.0,,"(-147.9, -29.0, 22.7)",,"(0.2, 2.2, 0.0)",,2.2,,9254.5,,2460.7,
,,10.0,,"(-147.1, -36.1, 22.7)",,"(0.8, -7.1, 0.0)",,7.1,,8765.6,,2506.5,
,,11.0,,"(-147.6, -42.1, 22.7)",,"(-0.5, -6.0, 0.0)",,6.0,,6059.9,,2016.5,
,,12.0,,"(-150.9, -44.6, 22.7)",,"(-3.3, -2.5, 0.0)",,4.1,,7764.3,,2394.4,
,,13.0,,"(-147.1, -49.2, 18.9)",,"(3.8, -4.6, -3.8)",,7.0,,7992.1,,2407.4,
,,14.0,,"(-146.3, -56.5, 30.3)",,"(0.8, -7.3, 11.4)",,13.5,,6534.3,,2039.4,
,,15.0,,"(-149.3, -55.4, 26.5)",,"(-3.0, 1.1, -3.8)",,5.0,,7262.6,,2313.0,
,,16.0,,"(-151.8, -49.0, 22.7)",,"(-2.5, 6.4, -3.8)",,7.9,,6536.5,,2171.4,
,,17.0,,"(-143.9, -56.3, 30.3)",,"(7.9, -7.2, 7.6)",,13.1,,8250.5,,2529.0,
,,18.0,,"(-144.9, -59.2, 34.1)",,"(-0.9, -2.9, 3.8)",,4.9,,8137.4,,2551.3,
,,19.0,,"(-143.5, -62.6, 37.9)",,"(1.4, -3.4, 3.8)",,5.3,,7375.4,,2598.0,
,,20.0,,"(-139.7, -68.7, 41.7)",,"(3.7, -6.1, 3.8)",,8.1,,7226.6,,2294.0,
,,21.0,,"(-137.0, -62.8, 53.0)",,"(2.7, 5.8, 11.4)",,13.1,,7623.9,,2255.4,
,,22.0,,"(-142.5, -70.6, 45.5)",,"(-5.5, -7.8, -7.6)",,12.1,,6976.2,,2140.3,
,,23.0,,"(-144.5, -62.6, 45.5)",,"(-2.0, 8.1, 0.0)",,8.3,,8337.4,,2474.0,
,,24.0,,"(-142.4, -60.6, 41.7)",,"(2.1, 1.9, -3.8)",,4.7,,7103.4,,2273.7,
,,25.0,,"(-140.9, -56.8, 49.2)",,"(1.5, 3.8, 7.6)",,8.6,,7543.7,,2237.5,
,,26.0,,"(-144.5, -48.1, 41.7)",,"(-3.6, 8.7, -7.6)",,12.1,,4211.3,,1534.4,
,,27.0,,"(-151.4, -33.5, 41.7)",,"(-6.9, 14.7, 0.0)",,16.2,,1823.7,,763.3,
