Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
"0_(255, 0, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-138.9, 1.1, 7.6)",,,,,,10644.7,,2906.9,
,,1.0,,"(-143.0, 5.4, 11.4)",,"(-4.1, 4.4, 3.8)",,7.1,,7059.6,,2280.3,
,,2.0,,"(-148.6, -8.2, 15.2)",,"(-5.6, -13.7, 3.8)",,15.3,,8549.8,,2633.4,
,,3.0,,"(-149.2, -7.9, 15.2)",,"(-0.6, 0.3, 0.0)",,0.7,,10781.3,,3207.3,
,,4.0,,"(-150.0, -19.8, 15.2)",,"(-0.7, -11.9, 0.0)",,11.9,,9916.2,,2833.6,
,,5.0,,"(-146.8, -17.2, 11.4)",,"(3.1, 2.6, -3.8)",,5.6,,6886.8,,2162.5,
,,6.0,,"(-146.1, -43.8, 15.2)",,"(0.7, -26.6, 3.8)",,26.9,,6705.4,,1966.2,
,,7.0,,"(-147.3, -71.7, 34.1)",,"(-1.2, -27.8, 18.9)",,33.7,,8023.3,,2381.4,
,,8.0,,"(-156.8, -70.6, 37.9)",,"(-9.5, 1.0, 3.8)",,10.2,,6932.2,,2164.5,
,,9.0,,"(-134.5, -79.3, 37.9)",,"(22.3, -8.6, 0.0)",,23.9,,4410.6,,1533.3,
,,10.0,,"(-140.5, -80.7, 45.5)",,"(-6.1, -1.4, 7.6)",,9.8,,7112.8,,2073.9,
,,11.0,,"(-146.0, -76.2, 56.8)",,"(-5.4, 4.5, 11.4)",,13.4,,10607.5,,2904.6,
,,12.0,,"(-136.0, -83.2, 56.8)",,"(10.0, -7.0, 0.0)",,12.2,,7341.8,,2138.7,
,,13.0,,"(-140.1, -83.4, 49.2)",,"(-4.1, -0.2, -7.6)",,8.6,,8779.6,,2606.7,
,,14.0,,"(-136.2, -85.0, 41.7)",,"(3.9, -1.6, -7.6)",,8.7,,7551.0,,2224.4,
,,15.0,,"(-131.2, -85.9, 49.2)",,"(5.0, -0.9, 7.6)",,9.1,,9817.8,,2677.3,
,,16.0,,"(-131.4, -87.3, 45.5)",,"(-0.2, -1.4, -3.8)",,4.0,,7076.2,,2020.4,
,,17.0,,"(-131.0, -85.3, 41.7)",,"(0.4, 1.9, -3.8)",,4.3,,6056.6,,1848.6,
,,18.0,,"(-133.3, -83.6, 34.1)",,"(-2.4, 1.7, -7.6)",,8.1,,6670.3,,1924.6,
,,19.0,,"(-134.8, -82.7, 34.1)",,"(-1.5, 0.9, 0.0)",,1.7,,7255.3,,2164.0,
